idBoT,ownerID,nDep,arrival,nTasks,nbInstructions,Memory,[ID_dep],,,,,
67,6,2,0,1,100000,50,2,3,,,,
68,6,2,0,1,100000,50,1,3,,,,
69,6,1,0,1,100000,50,3,,,,,
70,6,6,0,1,100000,50,4,5,6,7,8,9
71,6,1,0,1,100000,50,10,,,,,
72,6,2,0,1,100000,50,0,11,,,,
73,6,2,0,1,100000,50,1,11,,,,
74,6,2,0,1,100000,50,11,2,,,,
75,6,2,0,1,100000,50,11,3,,,,
76,6,4,0,1,100000,50,12,13,14,15,,
77,6,1,0,1,100000,50,16,,,,,
78,6,1,0,1,100000,50,17,,,,,
79,6,1,0,1,100000,50,18,,,,,
80,7,0,300,1,100000,50,,,,,,
81,7,0,300,1,100000,50,,,,,,
82,7,0,300,1,100000,50,,,,,,
83,7,0,300,1,100000,50,,,,,,
84,7,2,300,1,100000,50,20,21,,,,
85,7,2,300,1,100000,50,20,21,,,,
86,7,2,300,1,100000,50,21,22,,,,
87,7,2,300,1,100000,50,22,23,,,,
88,7,2,300,1,100000,50,21,23,,,,
89,7,1,300,1,100000,50,23,,,,,
90,7,6,300,1,100000,50,24,25,26,27,28,29
91,7,1,300,1,100000,50,30,,,,,
92,7,2,300,1,100000,50,20,31,,,,
93,7,2,300,1,100000,50,21,31,,,,
94,7,2,300,1,100000,50,31,22,,,,
95,7,2,300,1,100000,50,31,23,,,,
96,7,4,300,1,100000,50,32,33,34,35,,
97,7,1,300,1,100000,50,36,,,,,
98,7,1,300,1,100000,50,37,,,,,
99,7,1,300,1,100000,50,38,,,,,
100,8,0,600,1,100000,50,,,,,,
101,8,0,600,1,100000,50,,,,,,
102,8,0,600,1,100000,50,,,,,,
103,8,0,600,1,100000,50,,,,,,
104,8,2,600,1,100000,50,40,41,,,,
105,8,2,600,1,100000,50,40,41,,,,
106,8,2,600,1,100000,50,41,42,,,,
107,8,2,600,1,100000,50,42,43,,,,
108,8,2,600,1,100000,50,41,43,,,,
109,8,1,600,1,100000,50,43,,,,,
110,8,6,600,1,100000,50,44,45,46,47,48,49
111,8,1,600,1,100000,50,50,,,,,
112,8,2,600,1,100000,50,40,51,,,,
113,8,2,600,1,100000,50,41,51,,,,
114,8,2,600,1,100000,50,51,42,,,,
115,8,2,600,1,100000,50,51,43,,,,
116,8,4,600,1,100000,50,52,53,54,55,,
117,8,1,600,1,100000,50,56,,,,,
118,8,1,600,1,100000,50,57,,,,,
119,8,1,600,1,100000,50,58,,,,,
